authorization_id,timestamp,card_id,merchant_id,merchant_name,transaction_type,amount_cents,assessment,flags,prior_card_merchant_count,other_card_merchant_approval_count,prior_approved_purchase_count,prior_purchase_p95_cents,account_month_with_attempt_cents,monthly_limit_cents
TR00626,2025-10-17T06:24:23Z,CA0026,ME0018,NorthTone Digital,purchase,1869,observable_rule_conflict,international_disabled; no_approved_card_merchant; recent_decline_same_merchant; foreign_merchant,2,0,9,11190,16703,450000
TR00627,2025-10-17T06:28:32Z,CA0026,ME0018,NorthTone Digital,purchase,1869,observable_rule_conflict,international_disabled; no_approved_card_merchant; recent_decline_same_merchant; foreign_merchant,3,0,9,11190,16703,450000
TR00630,2025-10-17T09:47:20Z,CA0021,ME0040,SummitStay,purchase,24100,behavioral_context_only,first_card_merchant; no_approved_card_merchant,0,1,10,13646,60297,850000
TR00666,2025-10-20T02:54:13Z,CA0033,ME0051,WorkCanvas,purchase,1390,observable_rule_conflict,international_disabled; no_approved_card_merchant; foreign_merchant,2,0,10,8650,24924,320000
TR00706,2025-10-22T15:51:47Z,CA0029,ME0058,Cobalt Coatworks,purchase,11669,behavioral_context_only,first_card_merchant; no_approved_card_merchant; first_customer_merchant,0,0,14,23210,73246,950000
TR00725,2025-10-23T18:31:33Z,CA0033,ME0056,RoomKind,purchase,3900,behavioral_context_only,first_card_merchant; no_approved_card_merchant; first_card_category,0,1,11,9000,36434,320000
TR00746,2025-10-24T19:08:57Z,CA0004,ME0017,StoryArc Media,purchase,1290,behavioral_context_only,first_card_merchant; no_approved_card_merchant,0,1,14,26815,88162,950000
TR00759,2025-10-25T17:09:29Z,CA0031,ME0022,PixelHarbor,purchase,20900,behavioral_context_only,first_card_merchant; no_approved_card_merchant; first_card_category,0,2,17,22358,142296,650000
TR00848,2025-11-03T04:26:26Z,CA0009,ME0018,NorthTone Digital,purchase,1124,observable_rule_conflict,international_disabled; no_approved_card_merchant; first_card_device; foreign_merchant,3,5,7,14900,16342,450000
TR00849,2025-11-03T04:28:41Z,CA0009,ME0018,NorthTone Digital,purchase,1124,observable_rule_conflict,international_disabled; no_approved_card_merchant; recent_decline_same_merchant; foreign_merchant,4,5,7,14900,16342,450000
TR00850,2025-11-03T04:33:30Z,CA0009,ME0018,NorthTone Digital,purchase,1124,observable_rule_conflict,international_disabled; no_approved_card_merchant; recent_decline_same_merchant; foreign_merchant,5,5,7,14900,16342,450000
TR00853,2025-11-03T13:21:28Z,CA0029,ME0013,Noon Spoon,purchase,3490,unexplained_by_checked_factors,,1,1,18,23210,9150,950000
TR00875,2025-11-05T05:14:30Z,CA0007,ME0051,WorkCanvas,purchase,890,observable_rule_conflict,international_disabled; no_approved_card_merchant; foreign_merchant,2,0,51,8413,7294,400000
TR00876,2025-11-05T05:18:54Z,CA0007,ME0051,WorkCanvas,purchase,756,observable_rule_conflict,international_disabled; no_approved_card_merchant; recent_decline_same_merchant; foreign_merchant,3,0,51,8413,7160,400000
TR00965,2025-11-10T09:25:34Z,CA0018,ME0019,CloudShelf Books,purchase,2695,behavioral_context_only,burst_10m,2,0,37,6850,32444,450000
TR00967,2025-11-10T10:31:11Z,CA0010,ME0020,BrightPage Learning,purchase,2570,unexplained_by_checked_factors,,2,2,16,10500,11427,360000
TR00987,2025-11-12T04:17:12Z,CA0022,ME0051,WorkCanvas,purchase,1818,observable_rule_conflict,international_disabled; no_approved_card_merchant; unusual_hour; foreign_merchant,2,0,40,10703,11842,550000
TR01028,2025-11-14T17:50:20Z,CA0016,ME0034,Little Lantern,purchase,2650,unexplained_by_checked_factors,,2,4,14,10450,60144,400000
TR01038,2025-11-15T08:14:37Z,CA0033,ME0018,NorthTone Digital,purchase,650,observable_rule_conflict,international_disabled; first_card_merchant; no_approved_card_merchant; first_customer_merchant; first_card_country; foreign_merchant,0,0,20,8650,29739,320000
TR01039,2025-11-15T08:17:01Z,CA0033,ME0017,StoryArc Media,purchase,1994,behavioral_context_only,burst_10m,3,2,20,8650,31083,320000
TR01055,2025-11-16T09:57:19Z,CA0021,ME0051,WorkCanvas,purchase,2050,behavioral_context_only,burst_10m; foreign_merchant,3,9,20,22690,21361,850000
TR01060,2025-11-17T02:41:46Z,CA0026,ME0018,NorthTone Digital,purchase,2200,observable_rule_conflict,international_disabled; no_approved_card_merchant; unusual_hour; foreign_merchant,4,0,21,11190,74562,450000
TR01080,2025-11-19T07:35:49Z,CA0038,ME0024,HarborByte,purchase,10450,observable_rule_conflict,international_disabled; first_card_merchant; no_approved_card_merchant; first_card_category; first_card_country; foreign_merchant,0,5,16,23095,14478,550000
TR01081,2025-11-19T07:39:29Z,CA0038,ME0024,HarborByte,purchase,10450,observable_rule_conflict,international_disabled; no_approved_card_merchant; recent_decline_same_merchant; foreign_merchant,1,5,16,23095,14478,550000
TR01084,2025-11-19T10:39:15Z,CA0002,ME0031,HomeMend Market,purchase,8600,behavioral_context_only,first_card_merchant; no_approved_card_merchant; first_customer_merchant,0,0,17,8900,74987,450000
TR01098,2025-11-20T06:48:51Z,CA0033,ME0051,WorkCanvas,purchase,1390,observable_rule_conflict,international_disabled; no_approved_card_merchant; unusual_hour; foreign_merchant,3,0,20,8650,30479,320000
TR01099,2025-11-20T06:53:05Z,CA0033,ME0051,WorkCanvas,purchase,1390,observable_rule_conflict,international_disabled; no_approved_card_merchant; recent_decline_same_merchant; unusual_hour; foreign_merchant,4,0,20,8650,30479,320000
TR01100,2025-11-20T06:57:34Z,CA0033,ME0051,WorkCanvas,purchase,1390,observable_rule_conflict,international_disabled; no_approved_card_merchant; recent_decline_same_merchant; unusual_hour; foreign_merchant,5,0,20,8650,30479,320000
TR01149,2025-11-22T19:15:49Z,CA0031,ME0047,SilverFrame,purchase,27200,behavioral_context_only,amount_above_p95; foreign_merchant,4,2,25,22358,122128,650000
TR01169,2025-11-24T15:00:41Z,CA0015,ME0020,BrightPage Learning,purchase,4300,behavioral_context_only,unusual_hour,1,2,30,9225,63794,400000
TR01227,2025-11-29T07:25:24Z,CA0031,ME0002,Neighbour Pantry,purchase,11000,behavioral_context_only,first_card_merchant; no_approved_card_merchant,0,1,26,22358,117518,650000
TR01231,2025-11-29T08:49:38Z,CA0008,ME0018,NorthTone Digital,purchase,1400,observable_rule_conflict,international_disabled; first_card_merchant; no_approved_card_merchant; first_card_country; foreign_merchant,0,7,12,1500,25818,450000
TR01232,2025-11-29T08:56:08Z,CA0008,ME0018,NorthTone Digital,purchase,1189,observable_rule_conflict,international_disabled; no_approved_card_merchant; recent_decline_same_merchant; foreign_merchant,1,7,12,1500,25607,450000
TR01237,2025-11-29T11:29:29Z,CA0017,ME0038,HealthBridge Pharmacy,purchase,3452,unexplained_by_checked_factors,,1,9,20,10600,22630,360000
TR01243,2025-11-29T17:12:30Z,CA0004,ME0041,IsarNest Hotel,purchase,22090,unexplained_by_checked_factors,foreign_merchant,2,7,24,26815,139692,950000
TR01272,2025-12-02T06:52:06Z,CA0007,ME0060,Thames Weave,purchase,6920,observable_rule_conflict,international_disabled; first_card_merchant; no_approved_card_merchant; first_customer_merchant; first_card_country; foreign_merchant,0,0,73,7700,15906,400000
TR01287,2025-12-03T02:26:20Z,CA0009,ME0018,NorthTone Digital,purchase,1124,observable_rule_conflict,international_disabled; no_approved_card_merchant; foreign_merchant,6,7,11,14900,13532,450000
TR01321,2025-12-05T05:32:00Z,CA0007,ME0051,WorkCanvas,purchase,890,observable_rule_conflict,international_disabled; no_approved_card_merchant; foreign_merchant,4,0,75,7700,17721,400000
TR01324,2025-12-05T10:45:12Z,CA0017,ME0001,Alpine Basket,purchase,2090,behavioral_context_only,first_card_device,4,5,23,10600,10290,360000
TR01351,2025-12-06T18:04:00Z,CA0021,ME0040,SummitStay,purchase,32432,behavioral_context_only,no_approved_card_merchant; amount_above_p95,1,1,23,28937,95632,850000
TR01356,2025-12-06T18:47:08Z,CA0016,ME0026,RainThread,purchase,184034,observable_rule_conflict,transaction_limit; first_card_merchant; no_approved_card_merchant; first_card_category,0,0,15,10450,184034,400000
TR01373,2025-12-08T17:21:35Z,CA0009,ME0038,HealthBridge Pharmacy,purchase,4375,behavioral_context_only,first_card_merchant; no_approved_card_merchant; first_customer_merchant,0,0,12,14900,23949,450000
TR01416,2025-12-12T06:42:48Z,CA0022,ME0051,WorkCanvas,purchase,1818,observable_rule_conflict,international_disabled; no_approved_card_merchant; foreign_merchant,3,0,61,10300,35522,550000
TR01428,2025-12-12T19:25:19Z,CA0013,ME0032,Tool and Timber,purchase,12563,behavioral_context_only,first_card_merchant; no_approved_card_merchant; unusual_hour,0,2,34,14450,30967,550000
TR01447,2025-12-13T18:22:24Z,CA0010,ME0006,RailNest,purchase,1431,behavioral_context_only,first_card_merchant; no_approved_card_merchant; unusual_hour,0,1,24,9900,4326,360000
TR01450,2025-12-13T22:18:45Z,CA0040,ME0012,Basil and Board,purchase,6414,behavioral_context_only,first_card_merchant; no_approved_card_merchant,0,2,31,19700,42610,850000
TR01459,2025-12-14T18:23:26Z,CA0033,ME0027,Milano Weave,purchase,4638,observable_rule_conflict,international_disabled; first_card_merchant; no_approved_card_merchant; first_customer_merchant; first_card_country; foreign_merchant,0,0,26,8650,20506,320000
TR01461,2025-12-14T18:24:29Z,CA0033,ME0027,Milano Weave,purchase,3942,observable_rule_conflict,international_disabled; no_approved_card_merchant; burst_10m; recent_decline_same_merchant; foreign_merchant,1,0,27,8650,26110,320000
TR01463,2025-12-14T18:31:10Z,CA0033,ME0027,Milano Weave,purchase,3351,observable_rule_conflict,international_disabled; no_approved_card_merchant; burst_10m; recent_decline_same_merchant; foreign_merchant,2,0,28,9000,36114,320000
TR01465,2025-12-14T18:37:40Z,CA0033,ME0027,Milano Weave,purchase,3351,observable_rule_conflict,international_disabled; no_approved_card_merchant; recent_decline_same_merchant; foreign_merchant,3,0,28,9000,36114,320000
TR01495,2025-12-17T04:20:15Z,CA0026,ME0018,NorthTone Digital,purchase,2200,observable_rule_conflict,international_disabled; no_approved_card_merchant; unusual_hour; foreign_merchant,5,0,29,11390,32186,450000
TR01496,2025-12-17T04:25:17Z,CA0026,ME0018,NorthTone Digital,purchase,2200,observable_rule_conflict,international_disabled; no_approved_card_merchant; recent_decline_same_merchant; unusual_hour; foreign_merchant,6,0,29,11390,32186,450000
TR01510,2025-12-18T10:30:41Z,CA0013,ME0038,HealthBridge Pharmacy,purchase,9495,unexplained_by_checked_factors,,1,1,34,14450,27899,550000
TR01536,2025-12-20T02:58:02Z,CA0033,ME0051,WorkCanvas,purchase,1390,observable_rule_conflict,international_disabled; no_approved_card_merchant; unusual_hour; foreign_merchant,6,0,30,9000,40703,320000
TR01540,2025-12-20T11:33:54Z,CA0006,ME0038,HealthBridge Pharmacy,purchase,4895,behavioral_context_only,unusual_hour,2,1,38,20293,43597,280000
TR01551,2025-12-20T19:49:25Z,CA0028,ME0006,RailNest,purchase,2750,behavioral_context_only,first_card_merchant; no_approved_card_merchant; unusual_hour,0,3,24,9000,66611,850000
TR01568,2025-12-22T12:22:07Z,CA0039,ME0007,MetroHop,purchase,2690,behavioral_context_only,first_card_merchant; no_approved_card_merchant,0,3,49,19450,55938,320000
TR01573,2025-12-22T21:57:11Z,CA0003,ME0045,EuroTrail Tickets,purchase,32890,behavioral_context_only,unusual_hour; foreign_merchant,4,3,39,54090,160224,850000
TR01640,2025-12-28T04:15:02Z,CA0029,ME0051,WorkCanvas,purchase,3000,behavioral_context_only,unusual_hour; foreign_merchant,3,0,27,23210,49145,950000
TR01663,2025-12-30T14:39:23Z,CA0031,ME0047,SilverFrame,purchase,17929,unexplained_by_checked_factors,foreign_merchant,6,2,34,29895,135242,650000
TR01680,2025-12-31T11:29:32Z,CA0034,ME0007,MetroHop,purchase,1695,behavioral_context_only,burst_10m,2,0,74,11250,142449,450000
TR01719,2026-01-03T06:51:39Z,CA0009,ME0018,NorthTone Digital,purchase,1124,observable_rule_conflict,international_disabled; no_approved_card_merchant; foreign_merchant,7,9,14,14900,1442,450000
TR01744,2026-01-05T06:32:47Z,CA0007,ME0051,WorkCanvas,purchase,890,observable_rule_conflict,international_disabled; no_approved_card_merchant; foreign_merchant,5,0,93,8413,4185,400000
TR01745,2026-01-05T06:39:36Z,CA0007,ME0051,WorkCanvas,purchase,890,observable_rule_conflict,international_disabled; no_approved_card_merchant; recent_decline_same_merchant; foreign_merchant,6,0,93,8413,4185,400000
TR01761,2026-01-06T13:09:33Z,CA0037,ME0014,Riverside Plate,purchase,5600,behavioral_context_only,first_card_merchant; no_approved_card_merchant; first_card_country; foreign_merchant,0,3,39,8444,11921,280000
TR01762,2026-01-06T13:30:52Z,CA0007,ME0038,HealthBridge Pharmacy,purchase,2500,unexplained_by_checked_factors,,11,0,94,8413,8795,400000
TR01778,2026-01-07T12:20:05Z,CA0038,ME0022,PixelHarbor,purchase,295547,observable_rule_conflict,transaction_limit; amount_above_p95,1,2,28,21216,308747,550000
TR01785,2026-01-07T18:33:52Z,CA0036,ME0025,Loom and Pine,purchase,46595,behavioral_context_only,first_card_merchant; no_approved_card_merchant; amount_above_p95,0,2,23,8400,57342,500000
TR01805,2026-01-09T12:46:46Z,CA0032,ME0014,Riverside Plate,purchase,5230,observable_rule_conflict,international_disabled; first_card_merchant; no_approved_card_merchant; first_customer_merchant; first_card_country; foreign_merchant,0,0,33,14395,11313,400000
TR01840,2026-01-12T04:39:46Z,CA0022,ME0051,WorkCanvas,purchase,1818,observable_rule_conflict,international_disabled; no_approved_card_merchant; unusual_hour; foreign_merchant,4,0,72,10703,26918,550000
TR01862,2026-01-14T07:31:59Z,CA0004,ME0041,IsarNest Hotel,purchase,30200,unexplained_by_checked_factors,foreign_merchant,4,9,39,35032,72238,950000
TR01902,2026-01-17T06:56:43Z,CA0026,ME0018,NorthTone Digital,purchase,2200,observable_rule_conflict,international_disabled; no_approved_card_merchant; unusual_hour; foreign_merchant,7,0,32,11390,51528,450000
TR01903,2026-01-17T07:02:30Z,CA0026,ME0018,NorthTone Digital,purchase,2200,observable_rule_conflict,international_disabled; no_approved_card_merchant; recent_decline_same_merchant; unusual_hour; foreign_merchant,8,0,32,11390,51528,450000
TR01904,2026-01-17T07:03:39Z,CA0026,ME0018,NorthTone Digital,purchase,2200,observable_rule_conflict,international_disabled; no_approved_card_merchant; recent_decline_same_merchant; unusual_hour; foreign_merchant,9,0,32,11390,51528,450000
TR01905,2026-01-17T07:08:56Z,CA0026,ME0018,NorthTone Digital,purchase,2200,observable_rule_conflict,international_disabled; no_approved_card_merchant; recent_decline_same_merchant; unusual_hour; foreign_merchant,10,0,32,11390,51528,450000
TR01949,2026-01-20T05:55:28Z,CA0033,ME0051,WorkCanvas,purchase,1390,observable_rule_conflict,international_disabled; no_approved_card_merchant; unusual_hour; foreign_merchant,7,0,35,9000,10975,320000
TR01990,2026-01-22T19:43:17Z,CA0013,ME0039,MotionCare,purchase,4395,behavioral_context_only,first_card_merchant; no_approved_card_merchant; first_customer_merchant; unusual_hour,0,0,54,14450,126175,550000
TR01993,2026-01-23T03:07:35Z,CA0002,ME0051,WorkCanvas,purchase,979,unexplained_by_checked_factors,foreign_merchant,4,4,41,9838,42874,450000
TR02037,2026-01-24T18:32:10Z,CA0030,ME0013,Noon Spoon,purchase,6672,unexplained_by_checked_factors,,4,2,25,24700,129752,650000
TR02064,2026-01-26T14:26:39Z,CA0033,ME0008,LakeLine Mobility,purchase,6500,unexplained_by_checked_factors,,1,2,39,10595,59713,320000
TR02082,2026-01-28T11:05:10Z,CA0017,ME0004,Sunrise Provisions,purchase,10470,behavioral_context_only,first_card_merchant; no_approved_card_merchant,0,2,39,12150,35891,360000
TR02096,2026-01-29T11:12:45Z,CA0007,ME0007,MetroHop,purchase,1941,unexplained_by_checked_factors,,3,0,117,7700,76090,400000
TR02098,2026-01-29T12:40:21Z,CA0012,ME0049,ScreenGarden,purchase,53496,behavioral_context_only,amount_above_p95,1,0,51,19919,235725,500000
TR02140,2026-01-31T20:33:46Z,CA0039,ME0024,HarborByte,purchase,39090,behavioral_context_only,amount_above_p95; foreign_merchant,10,0,65,20150,133730,320000
TR02166,2026-02-03T05:08:04Z,CA0009,ME0018,NorthTone Digital,purchase,1124,observable_rule_conflict,international_disabled; no_approved_card_merchant; unusual_hour; foreign_merchant,8,9,21,8019,1442,450000
TR02197,2026-02-05T03:56:24Z,CA0007,ME0051,WorkCanvas,purchase,890,observable_rule_conflict,international_disabled; no_approved_card_merchant; foreign_merchant,7,0,125,7700,24900,400000
TR02198,2026-02-05T03:57:48Z,CA0007,ME0051,WorkCanvas,purchase,890,observable_rule_conflict,international_disabled; no_approved_card_merchant; recent_decline_same_merchant; foreign_merchant,8,0,125,7700,24900,400000
TR02211,2026-02-06T08:57:00Z,CA0039,ME0024,HarborByte,purchase,13100,unexplained_by_checked_factors,foreign_merchant,11,0,67,20150,16315,320000
TR02215,2026-02-06T10:04:26Z,CA0002,ME0017,StoryArc Media,purchase,2234,unexplained_by_checked_factors,,1,2,51,9838,8614,450000
TR02234,2026-02-07T09:18:02Z,CA0025,ME0021,London Leaf Books,purchase,2190,observable_rule_conflict,international_disabled; first_card_merchant; no_approved_card_merchant; first_customer_merchant; first_card_country; burst_10m; foreign_merchant,0,0,46,10128,6500,450000
TR02237,2026-02-07T13:52:14Z,CA0030,ME0023,Circuit and Pine,purchase,17290,behavioral_context_only,first_card_merchant; no_approved_card_merchant,0,1,30,24700,24880,650000
